subjectid,abdominalextensiondepthsitting,acromialheight,acromionradialelength,axillaheight,biacromialbreadth,bicepscircumferenceflexed,bideltoidbreadth,chestbreadth,chestcircumference,chestdepth,chestheight,elbowrestheight,forearmcenterofgriplength,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,iliocristaleheight,interscyei,neckcircumference,neckcircumferencebase,shouldercircumference,shoulderelbowlength,shoulderlength,sittingheight,sleevelengthspinewrist,sleeveoutseam,span,stature,suprasternaleheight,tenthribheight,verticaltrunkcircumferenceusa,weightkg,wristcircumference,wristheight,Heightin
10027,266,1467,337,1347,401,369,493,291,1074,259,1292,247,349,299,575,477,1071,422,400,436,1151,368,145,928,883,600,1782,1776,1449,1092,1700,815,175,853,71
10032,233,1395,326,1293,394,338,479,269,1021,253,1244,232,348,289,523,476,1046,441,380,420,1119,353,141,884,868,564,1745,1702,1387,1076,1627,726,167,815,68
10033,287,1430,341,1327,427,408,544,288,1120,267,1288,237,355,357,575,491,1053,462,403,434,1276,367,167,917,910,604,1867,1735,1438,1105,1678,929,180,831,68
10092,234,1347,310,1239,401,359,518,296,1114,262,1205,272,352,318,593,467,986,458,407,446,1155,330,148,903,848,550,1708,1655,1346,1021,1625,794,176,793,66
10093,250,1585,372,1478,435,356,524,304,1048,232,1452,188,399,324,605,550,1251,481,398,430,1231,400,180,919,995,641,2035,1914,1596,1292,1679,946,188,954,77
10115,263,1407,344,1293,404,340,502,281,1066,266,1253,243,346,298,540,470,1022,457,395,420,1172,363,145,898,893,605,1817,1720,1411,1080,1706,802,171,802,69
10117,314,1476,343,1378,453,452,560,278,1208,289,1372,284,392,376,640,536,1098,488,461,497,1331,372,164,957,960,613,1965,1810,1506,1176,1779,1162,195,861,72
10237,304,1529,360,1402,425,332,513,285,1087,271,1359,254,364,287,566,499,1125,445,412,455,1188,384,144,952,928,643,1939,1850,1531,1199,1705,954,185,883,74
10242,321,1457,339,1345,415,379,549,335,1181,281,1312,262,358,344,673,475,1058,500,435,463,1212,363,143,922,914,585,1812,1777,1471,1124,1729,995,191,881,70
10244,227,1481,345,1372,406,325,477,280,964,215,1340,215,362,287,520,508,1106,437,372,428,1094,379,147,932,911,633,1918,1811,1470,1152,1567,702,179,880,72
10246,272,1450,339,1353,412,351,523,293,1117,270,1311,300,350,304,589,488,1055,510,445,473,1203,362,144,969,915,580,1840,1780,1464,1108,1775,882,174,863,70
10260,227,1416,339,1319,408,327,464,268,961,234,1272,212,347,281,492,484,1080,464,374,421,1126,363,160,871,860,600,1823,1733,1423,1117,1594,701,171,817,69
10265,268,1504,373,1390,453,397,564,296,1151,282,1367,200,371,342,650,505,1138,447,436,468,1275,398,161,906,952,650,1995,1814,1525,1200,1751,1037,183,867,72
10272,288,1539,365,1411,466,420,588,314,1231,301,1374,262,373,350,658,507,1138,460,468,496,1354,393,173,966,940,644,1956,1861,1531,1188,1803,1116,184,904,75
10286,261,1379,327,1278,414,363,504,263,1060,254,1254,240,329,322,579,447,1033,399,399,439,1149,350,156,918,875,572,1726,1709,1403,1083,1655,896,183,795,68
10293,308,1460,361,1335,413,387,537,291,1092,255,1306,238,376,338,633,506,1070,470,435,465,1224,382,140,864,955,619,1883,1740,1435,1115,1770,924,187,844,69
10303,245,1384,329,1272,398,341,501,275,1085,250,1265,246,334,296,581,459,1017,438,402,436,1145,358,137,899,879,571,1739,1694,1381,1063,1642,779,176,819,67
10304,310,1455,346,1345,385,377,504,276,1118,281,1331,264,350,337,636,482,1048,388,411,428,1152,372,141,929,888,595,1828,1766,1452,1098,1730,969,180,857,70
10305,225,1427,331,1319,394,335,490,274,999,229,1293,259,340,297,568,458,1077,434,385,426,1140,359,134,915,856,576,1749,1748,1432,1118,1650,760,170,844,70
10310,270,1468,349,1351,399,335,511,303,1127,255,1322,279,354,298,588,489,1060,434,392,413,1146,375,146,969,910,611,1850,1794,1479,1121,1776,908,175,849,70
10312,209,1450,340,1342,420,304,489,296,1000,223,1276,254,353,288,517,488,1056,417,377,414,1125,379,159,949,918,600,1846,1780,1437,1097,1631,714,187,840,71
10319,245,1370,309,1273,395,348,493,265,977,233,1262,282,331,299,554,450,992,447,367,406,1121,332,133,914,807,563,1695,1680,1374,1043,1693,746,172,806,66
10338,258,1340,314,1256,398,358,511,276,1079,271,1216,247,336,290,603,450,1014,384,388,418,1170,337,131,867,833,552,1706,1653,1350,1044,1628,792,174,805,66
10339,219,1624,388,1535,440,355,511,273,1011,234,1506,225,405,306,523,559,1230,420,378,432,1203,417,162,959,987,696,2072,1959,1634,1276,1736,915,185,926,79
10340,286,1423,341,1321,410,389,519,283,1098,274,1291,258,351,325,625,476,1046,406,407,440,1160,371,144,945,902,597,1809,1755,1445,1097,1748,965,186,825,70
